species,jar,temperature,replicate,x
tetrahymena,85,18,1,3790.1214028990807
loxocephallus,88,18,1,2457.806213246673
colpidium,91,18,1,832.4792244738292
paramecium,94,18,1,367.85539551713197
tetrahymena,73,20,1,4423.065756914219
loxocephallus,76,20,1,4043.251096929618
colpidium,79,20,1,2815.566633656443
paramecium,82,20,1,509.1821270103008
tetrahymena,61,22,1,4052.3536943090917
loxocephallus,64,22,1,3454.0528769567486
colpidium,67,22,1,3550.5843689313488
paramecium,70,22,1,382.4769056071038
tetrahymena,49,24,1,10538.181838994391
loxocephallus,52,24,1,2829.2959564991625
colpidium,55,24,1,932.5838136482399
paramecium,58,24,1,484.59053276137627
tetrahymena,37,26,1,6140.463398255147
loxocephallus,40,26,1,2246.7557809257237
colpidium,43,26,1,11.631288165164293
paramecium,46,26,1,460.7832984694407
tetrahymena,86,18,2,6830.173593303387
loxocephallus,89,18,2,2165.830750059218
colpidium,92,18,2,879.8231832822921
paramecium,95,18,2,536.0258491128637
tetrahymena,74,20,2,3771.0447019461953
loxocephallus,77,20,2,4155.758947610143
colpidium,80,20,2,1686.967712464807
paramecium,83,20,2,374.448098643253
tetrahymena,62,22,2,7576.514135129877
loxocephallus,65,22,2,3500.8500836557896
colpidium,68,22,2,974.6160180444667
paramecium,71,22,2,484.766912673997
tetrahymena,50,24,2,3420.21799934261
loxocephallus,53,24,2,2832.60321440142
colpidium,56,24,2,798.9550589481446
paramecium,59,24,2,404.05575111041037
tetrahymena,38,26,2,4612.536296749121
loxocephallus,41,26,2,1964.690516606893
colpidium,44,26,2,2.1128248468201987
paramecium,47,26,2,564.3676120733867
tetrahymena,87,18,3,5925.990721090985
loxocephallus,90,18,3,2116.797279329358
colpidium,93,18,3,1434.2972146803622
paramecium,96,18,3,430.93044594035786
tetrahymena,75,20,3,4333.0825080595305
loxocephallus,78,20,3,2961.783744429167
colpidium,81,20,3,266.4002664002664
paramecium,84,20,3,435.217333657759
tetrahymena,63,22,3,5493.671941727643
loxocephallus,66,22,3,3767.7786953200703
colpidium,69,22,3,2880.08104814436
paramecium,72,22,3,466.70860565736905
tetrahymena,51,24,3,5224.761427681934
loxocephallus,54,24,3,2927.173739187087
colpidium,57,24,3,26.74690738883317
paramecium,60,24,3,356.6572840030128
tetrahymena,39,26,3,5045.464734437937
loxocephallus,42,26,3,2130.43236734424
colpidium,45,26,3,8.158825129181396
paramecium,48,26,3,566.6292539629753
