species,jar,temperature,replicate,x
tetrahymena,37,26,1,3.562814984942229
tetrahymena,38,26,2,3.4364924667072048
tetrahymena,39,26,3,3.4650975285511705
loxocephallus,40,26,1,1.479454684348316
loxocephallus,41,26,2,1.4127714702361638
loxocephallus,42,26,3,1.319325074658224
colpidium,43,26,1,0.061575427441911385
colpidium,44,26,2,0
colpidium,45,26,3,0.1332315001717567
paramecium,46,26,1,2.904413625345672
paramecium,47,26,2,2.846048907731236
paramecium,48,26,3,2.9108576816560676
tetrahymena,49,24,1,3.648409590307126
tetrahymena,50,24,2,3.5209613531895565
tetrahymena,51,24,3,3.606657767681687
loxocephallus,52,24,1,1.279972717259743
loxocephallus,53,24,2,1.3761706233910103
loxocephallus,54,24,3,1.2632629297757225
colpidium,55,24,1,0.22719856408393366
colpidium,56,24,2,0.09968548048725762
colpidium,57,24,3,0.4153159355562227
paramecium,58,24,1,2.063293417562605
paramecium,59,24,2,2.4102573418420192
paramecium,60,24,3,2.288882476464549
tetrahymena,61,22,1,3.4859524280087477
tetrahymena,62,22,2,3.469829028401561
tetrahymena,63,22,3,3.5232812097968282
loxocephallus,64,22,1,0.9533241557314893
loxocephallus,65,22,2,1.1851521442318926
loxocephallus,66,22,3,1.1126363148249148
colpidium,67,22,1,1.3128428624159727
colpidium,68,22,2,0.5581633009910876
colpidium,69,22,3,1.23856042749267
paramecium,70,22,1,1.8037615899385977
paramecium,71,22,2,1.839632137674302
paramecium,72,22,3,1.906855820911051
tetrahymena,73,20,1,2.6428268521113316
tetrahymena,74,20,2,2.6840266856164705
tetrahymena,75,20,3,2.624273158572118
loxocephallus,76,20,1,0.876982852327145
loxocephallus,77,20,2,0.8249015533007348
loxocephallus,78,20,3,0.7218871131780549
colpidium,79,20,1,1.13113755597629
colpidium,80,20,2,0.9550936358631943
colpidium,81,20,3,0.9291999380494858
paramecium,82,20,1,1.5288685529508914
paramecium,83,20,2,1.4703666733611667
paramecium,84,20,3,1.3235005811798657
tetrahymena,85,18,1,2.3691684475750794
tetrahymena,86,18,2,2.583063569731038
tetrahymena,87,18,3,2.283614042566799
loxocephallus,88,18,1,0.8213258290919944
loxocephallus,89,18,2,0.6650461852392919
loxocephallus,90,18,3,0.6913840143840463
colpidium,91,18,1,1.1325312401600711
colpidium,92,18,2,1.0976026536313142
colpidium,93,18,3,1.0383564722155736
paramecium,94,18,1,1.0276036177152643
paramecium,95,18,2,1.1562731698795237
paramecium,96,18,3,1.1048657351587794
