species,individual,length,width,length(mm),width(mm),volume(mg)
colpidium,1,18,6,0.12,0.04,0.000100544
colpidium,2,12,6,0.08,0.04,6.70293E-05
colpidium,3,14,6,0.093333333,0.04,7.82009E-05
colpidium,4,7,4,0.046666667,0.026666667,1.7378E-05
colpidium,5,12,5,0.08,0.033333333,4.65481E-05
colpidium,6,19,7,0.126666667,0.046666667,0.000144454
colpidium,7,11,5,0.073333333,0.033333333,4.26691E-05
colpidium,8,17,5,0.113333333,0.033333333,6.59432E-05
colpidium,9,15,4,0.1,0.026666667,3.72385E-05
colpidium,10,12,4,0.08,0.026666667,2.97908E-05
loxocephallus,1,7,3,0.046666667,0.02,9.77511E-06
loxocephallus,2,7,2,0.046666667,0.013333333,4.34449E-06
loxocephallus,3,9,3,0.06,0.02,0.000012568
loxocephallus,4,6,3,0.04,0.02,8.37867E-06
loxocephallus,5,9,3,0.06,0.02,0.000012568
loxocephallus,6,8,3,0.053333333,0.02,1.11716E-05
loxocephallus,7,8,4,0.053333333,0.026666667,1.98605E-05
loxocephallus,8,8,3,0.053333333,0.02,1.11716E-05
loxocephallus,9,6,3,0.04,0.02,8.37867E-06
loxocephallus,10,7,4,0.046666667,0.026666667,1.7378E-05
paramecium,1,16,4,0.106666667,0.026666667,3.97211E-05
paramecium,2,17,3,0.113333333,0.02,2.37396E-05
paramecium,3,22,3,0.146666667,0.02,3.07218E-05
paramecium,4,23,5,0.153333333,0.033333333,8.92173E-05
paramecium,5,18,4,0.12,0.026666667,4.46862E-05
paramecium,6,20,5,0.133333333,0.033333333,7.75802E-05
paramecium,7,22,5,0.146666667,0.033333333,8.53383E-05
paramecium,8,24,5,0.16,0.033333333,9.30963E-05
paramecium,9,24,5,0.16,0.033333333,9.30963E-05
paramecium,10,24,5,0.16,0.033333333,9.30963E-05
tetrahymena,1,5,2,0.033333333,0.013333333,1.08612E-06
tetrahymena,2,5,2,0.033333333,0.013333333,1.08612E-06
tetrahymena,3,4,2,0.026666667,0.013333333,9.30963E-07
tetrahymena,4,6,3,0.04,0.02,0.000003142
tetrahymena,5,5,3,0.033333333,0.02,2.79289E-06
tetrahymena,6,7,3,0.046666667,0.02,3.49111E-06
tetrahymena,7,6,3,0.04,0.02,0.000003142
tetrahymena,8,6,3,0.04,0.02,0.000003142
tetrahymena,9,5,3,0.033333333,0.02,2.79289E-06
tetrahymena,10,6,4,0.04,0.026666667,6.20642E-06
